tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0275089,movie,Revenge of the Snakes,Yilanlarin Öcü,0,1961,\N,104,Drama,7.7,1497
tt0275230,movie,Blood: The Last Vampire,Blood: The Last Vampire,0,2000,\N,48,"Action,Animation,Horror",6.6,13352
tt0275277,movie,Cowboy Bebop: The Movie,Cowboy Bebop: Tengoku no tobira,0,2001,\N,115,"Action,Animation,Crime",7.8,53520
tt0275309,movie,Dogtown and Z-Boys,Dogtown and Z-Boys,0,2001,\N,91,"Documentary,Sport",7.6,13383
tt0275491,movie,Bad Education,La mala educación,0,2004,\N,106,"Crime,Drama",7.4,63605
tt0275692,movie,Sol Goode,Sol Goode,0,2003,\N,99,"Comedy,Romance",5.2,1321
tt0275719,movie,Tape,Tape,0,2001,\N,86,Drama,7.2,21226
tt0275773,movie,Versus,Versus,0,2000,\N,119,"Action,Drama,Fantasy",6.3,13767
tt0275847,movie,Lilo & Stitch,Lilo & Stitch,0,2002,\N,85,"Adventure,Animation,Comedy",7.3,213264
tt0275913,movie,Amazons and Gladiators,Amazons and Gladiators,0,2001,\N,94,"Action,Adventure,Drama",3.5,1344
tt0275915,movie,Possible Loves,Amores Possíveis,0,2001,\N,98,"Comedy,Drama,Romance",6.6,1110
tt0275947,movie,Avenging Angelo,Avenging Angelo,0,2002,\N,97,"Action,Comedy,Crime",5.1,10101
tt0276033,movie,The Country Bears,The Country Bears,0,2002,\N,88,"Comedy,Family,Music",4.3,6165
tt0276191,movie,Hemso,Hemso,0,2001,\N,93,"Comedy,Drama",4.9,2482
tt0276276,movie,Lawless Heart,Lawless Heart,0,2001,\N,100,"Comedy,Drama,Romance",6.7,1435
tt0276409,movie,Money Is Not Everything,Pieniadze to nie wszystko,0,2001,\N,120,Comedy,6.5,2065
tt0276501,movie,Beijing Bicycle,Shiqi sui de dan che,0,2001,\N,113,Drama,7.2,4766
tt0276617,movie,The White Sound,Das weiße Rauschen,0,2001,\N,103,Drama,7.1,3557
tt0276744,movie,13 Moons,13 Moons,0,2002,\N,93,Comedy,5.6,1340
tt0276751,movie,About a Boy,About a Boy,0,2002,\N,101,"Comedy,Drama,Romance",7.1,192121
tt0276793,movie,"Dad, Make Me Marry",Baba Bizi Eversene,0,1975,\N,81,Comedy,7.3,1844
tt0276816,movie,Below,Below,0,2002,\N,105,"Action,Horror,Mystery",6.1,24246
