tconst,averageRating,numVotes
tt0022685,6.5,1915
tt0022689,6.0,1583
tt0022694,6.8,1396
tt0022698,7.1,5671
tt0022700,6.4,1352
tt0022718,7.2,6235
tt0022725,7.5,1550
tt0022735,6.6,1888
tt0022753,6.2,1161
tt0022775,6.8,1197
tt0022787,7.7,1707
tt0022792,6.2,1479
tt0022802,6.7,1375
tt0022827,6.4,4288
tt0022834,7.0,1863
tt0022835,7.6,15914
tt0022854,6.9,1150
tt0022867,6.6,2800
tt0022877,7.8,1940
tt0022879,6.4,6891
tt0022905,6.9,1723
tt0022913,7.8,50860
tt0022958,7.3,20989
tt0022991,5.8,1466
tt0023027,7.5,13453
tt0023028,6.5,1379
tt0023042,8.2,14520
tt0023049,6.9,2320
tt0023074,7.2,2637
tt0023101,6.5,1129
tt0023125,6.5,1120
tt0023158,7.5,4658
tt0023181,6.8,1278
tt0023194,6.2,3754
tt0023196,6.6,3968
tt0023202,6.6,1407
tt0023213,6.9,1950
tt0023225,6.8,1466
tt0023236,4.1,1092
tt0023238,7.1,14107
tt0023241,7.1,1673
tt0023245,7.0,30324
tt0023249,6.3,5305
tt0023266,6.7,1073
tt0023277,6.6,1697
tt0023285,5.7,5475
tt0023293,7.0,13198
tt0023303,7.1,2943
tt0023305,7.5,4470
tt0023312,7.2,2674
tt0023327,6.9,1417
tt0023349,6.1,1236
tt0023362,6.4,1854
tt0023369,6.9,3053
tt0023374,6.5,1191
tt0023382,7.2,4956
tt0023385,7.0,3561
tt0023394,6.2,1174
tt0023395,5.7,4959
tt0023427,7.7,30503
tt0023458,7.3,10447
tt0023470,6.8,2725
tt0023488,6.9,1560
tt0023491,6.8,1829
tt0023498,5.8,1173
tt0023551,6.9,8255
tt0023556,6.6,1560
tt0023563,7.9,13658
tt0023582,6.2,1880
tt0023590,7.1,4416
tt0023594,6.4,1101
tt0023622,7.9,16268
tt0023629,6.9,1306
tt0023634,7.9,6254
tt0023642,7.0,1195
tt0023649,7.4,20643
tt0023686,7.0,2600
tt0023694,6.2,11712
tt0023731,6.8,2968
tt0023753,6.3,2635
tt0023775,7.5,8224
tt0023786,6.4,1028
tt0023814,6.9,4337
tt0023825,7.1,3166
tt0023856,6.5,1389
tt0023871,7.7,1534
tt0023876,5.8,6027
tt0023891,6.3,1680
tt0023911,7.5,1517
tt0023926,6.8,2704
tt0023935,6.0,1428
tt0023937,7.2,1486
tt0023940,7.4,7820
tt0023943,7.1,2099
tt0023948,7.5,9086
tt0023960,6.8,1301
tt0023969,7.7,62958
tt0023973,7.0,1396
tt0023985,6.4,1269
tt0023986,7.2,1648
tt0023993,6.3,1699
tt0024008,6.7,1926
tt0024025,6.6,4057
tt0024028,7.5,6119
tt0024034,7.3,13090
tt0024044,6.4,1403
tt0024055,5.8,3272
tt0024067,6.1,1919
tt0024069,7.7,9201
tt0024087,5.8,1478
tt0024115,7.4,2530
tt0024120,6.9,1079
tt0024127,5.5,1824
tt0024130,6.9,1821
tt0024166,6.9,4001
tt0024183,6.9,1474
tt0024184,7.6,40203
tt0024188,7.4,10997
tt0024210,6.9,4109
tt0024216,7.9,91438
tt0024238,6.6,1836
tt0024239,7.0,1899
tt0024240,7.4,4687
tt0024252,7.5,1549
tt0024262,7.0,1448
tt0024264,7.2,7965
tt0024302,7.1,1818
tt0024314,6.9,1847
tt0024334,7.0,1625
tt0024353,6.4,3296
tt0024360,6.4,1799
tt0024368,6.8,6866
tt0024402,7.0,1132
tt0024426,6.4,1313
tt0024433,6.5,1527
tt0024435,6.8,1383
tt0024450,7.0,1754
tt0024471,6.7,1071
tt0024473,7.0,4904
tt0024475,6.3,1076
tt0024481,7.5,8662
tt0024500,5.4,1205
tt0024516,5.4,1403
tt0024538,6.4,1177
tt0024548,6.3,7085
tt0024554,5.3,1101
tt0024593,5.6,5348
tt0024601,7.5,9635
tt0024610,6.7,1077
tt0024617,7.1,1867
tt0024625,5.6,1201
tt0024675,5.9,1406
tt0024676,7.0,1057
tt0024684,6.7,1040
tt0024727,5.7,3068
tt0024747,5.8,1724
tt0024763,6.8,1137
tt0024772,7.5,2372
tt0024785,7.3,1286
tt0024803,7.2,9413
tt0024805,5.0,1144
tt0024831,7.0,1448
tt0024844,7.7,17580
tt0024852,7.1,7591
tt0024854,6.4,1049
tt0024865,6.9,2141
tt0024890,6.2,1066
tt0024894,6.9,13075
tt0024902,5.3,1770
tt0024906,6.2,1267
tt0024914,7.2,2513
tt0024916,6.7,1167
tt0024958,6.9,1029
tt0024961,6.6,1379
tt0024963,6.3,1166
tt0024966,7.1,1442
tt0024968,6.9,2180
tt0024989,6.6,1204
tt0024991,6.8,4646
tt0025004,7.4,3276
tt0025028,7.0,2444
tt0025037,6.9,2427
tt0025091,6.9,1877
tt0025101,6.6,2026
tt0025129,6.5,1755
tt0025132,6.4,1607
tt0025161,6.5,1170
tt0025164,7.4,8692
tt0025173,6.6,1374
tt0025228,7.1,1044
tt0025238,6.2,1169
tt0025263,6.0,1073
tt0025272,6.5,1334
tt0025273,6.1,1141
tt0025301,7.5,5676
tt0025316,8.1,112856
tt0025318,7.1,5779
tt0025330,6.6,2042
tt0025335,6.2,2532
tt0025373,5.0,1133
tt0025397,6.8,1272
tt0025410,6.9,1397
tt0025423,6.8,3621
tt0025440,5.6,1378
tt0025452,6.7,21308
tt0025455,5.1,1264
tt0025456,7.2,2334
tt0025461,6.6,1127
tt0025464,7.1,4819
tt0025465,3.7,2710
tt0025480,6.1,1012
tt0025493,7.2,3287
tt0025499,5.5,1256
tt0025509,8.3,1977
tt0025536,6.0,1027
tt0025580,6.5,1162
tt0025586,7.0,8430
tt0025590,7.3,1143
tt0025607,5.9,1510
tt0025610,7.0,2208
tt0025617,6.5,1731
tt0025699,5.3,1185
tt0025718,6.3,1023
tt0025740,6.8,1645
tt0025746,7.5,7277
tt0025748,7.3,4790
tt0025791,7.3,1010
tt0025830,5.1,1301
tt0025862,7.2,5596
tt0025878,7.9,32703
tt0025880,6.7,1131
tt0025898,7.2,2099
tt0025903,5.3,1009
tt0025907,7.1,3181
tt0025913,7.1,18405
tt0025919,7.3,7281
tt0025929,7.7,3498
tt0025946,6.9,1080
tt0025948,6.3,1595
tt0025969,5.3,1074
tt0026017,7.4,1191
tt0026029,7.6,61833
tt0026043,6.4,1045
tt0026056,6.9,4585
tt0026071,7.0,5820
tt0026073,6.6,1904
tt0026097,6.8,2061
tt0026104,5.8,1304
tt0026121,6.5,1078
tt0026123,6.9,2265
tt0026126,6.7,2114
tt0026129,6.6,2010
tt0026138,7.8,53515
tt0026144,6.7,2004
tt0026164,6.8,2554
tt0026174,7.7,16174
tt0026184,6.6,1176
tt0026197,6.6,2178
tt0026198,7.1,1761
tt0026199,6.9,1612
tt0026205,6.9,2971
tt0026246,6.9,2251
tt0026249,6.5,1301
tt0026252,6.8,2122
tt0026261,6.8,3715
tt0026266,7.3,4784
tt0026267,5.1,1333
tt0026273,5.3,1037
tt0026276,6.9,3990
tt0026388,6.5,1730
tt0026393,7.1,4395
tt0026406,6.7,2142
tt0026413,6.7,1435
tt0026421,6.9,2979
tt0026424,7.5,1635
tt0026452,6.9,2164
tt0026519,7.0,1431
tt0026529,7.4,7228
tt0026564,7.4,1414
tt0026605,6.4,1245
tt0026641,6.7,1686
tt0026643,7.0,3253
tt0026663,7.2,5902
tt0026667,6.8,1138
tt0026676,7.5,1351
tt0026685,6.2,5599
tt0026714,6.8,3914
tt0026725,7.6,3943
tt0026739,6.8,1296
tt0026752,7.6,25015
tt0026759,5.4,1063
tt0026768,6.5,1547
tt0026778,7.8,34891
tt0026840,6.6,1420
tt0026846,5.1,1031
tt0026866,6.9,2584
tt0026912,6.8,6684
tt0026914,6.4,1526
tt0026922,6.6,1016
tt0026932,6.2,1112
tt0026942,7.0,3680
tt0026955,7.6,4543
tt0026972,6.4,2646
tt0026983,6.4,1923
tt0027029,6.4,1211
tt0027040,6.7,1803
tt0027042,6.9,1354
tt0027067,6.2,4572
tt0027075,7.8,6357
tt0027076,7.7,1240
tt0027087,5.1,1060
tt0027118,7.5,1658
tt0027125,7.7,20803
tt0027189,6.6,1084
tt0027194,6.3,6535
tt0027214,7.3,3246
tt0027260,7.6,12192
tt0027286,6.3,2190
tt0027300,6.3,2043
tt0027307,7.3,1289
tt0027336,7.5,3700
tt0027342,7.5,1434
tt0027357,6.5,1183
tt0027367,6.9,3938
tt0027376,6.6,2253
tt0027387,6.7,1957
tt0027407,7.0,3536
tt0027413,6.3,2070
tt0027421,7.0,1505
tt0027438,7.0,5513
tt0027439,6.8,1819
tt0027440,7.1,2280
tt0027441,7.0,1610
tt0027442,7.0,1772
tt0027459,6.9,2402
tt0027474,7.2,1016
tt0027478,7.3,3733
tt0027489,7.6,1662
tt0027515,7.1,2899
tt0027521,7.0,4992
tt0027532,7.7,10264
tt0027545,6.3,8068
tt0027552,7.4,1974
tt0027593,6.9,2220
tt0027623,7.0,2674
tt0027630,7.1,4748
tt0027652,7.8,13772
tt0027657,5.8,1715
tt0027664,6.5,1352
tt0027672,7.4,3022
tt0027686,6.4,1216
tt0027687,6.2,1158
tt0027690,5.6,1376
tt0027697,6.2,1148
tt0027698,6.6,9064
tt0027752,7.7,4066
tt0027796,6.4,1405
tt0027800,6.5,3057
tt0027869,6.6,1643
tt0027884,7.8,8973
tt0027893,7.3,2546
tt0027902,6.9,1214
tt0027914,6.0,1381
tt0027938,6.6,1208
tt0027948,6.3,2806
tt0027969,6.5,1848
tt0027977,8.5,260858
tt0027996,7.8,23328
tt0028010,7.9,26580
tt0028021,7.2,2612
tt0028070,7.3,3471
tt0028096,7.5,15025
tt0028108,6.8,2443
tt0028118,7.0,1597
tt0028138,6.7,1240
tt0028141,7.2,2597
tt0028167,7.0,1996
tt0028174,3.4,1889
tt0028201,7.6,2558
tt0028203,6.5,2240
tt0028207,6.7,1404
tt0028212,7.0,18873
tt0028216,7.2,6141
tt0028219,5.9,2467
tt0028231,6.4,9079
tt0028249,7.4,3707
tt0028313,7.3,3170
tt0028315,7.1,1489
tt0028330,6.4,1748
tt0028331,5.8,1471
tt0028333,7.5,14659
tt0028345,6.5,3616
tt0028346,3.7,9395
tt0028355,7.1,2967
tt0028356,7.4,3047
tt0028358,6.6,9143
tt0028373,6.6,1537
tt0028401,6.8,1374
tt0028436,6.9,1175
tt0028478,6.6,3118
tt0028505,7.0,3918
tt0028510,6.0,1168
tt0028575,7.2,3238
tt0028597,7.7,21483
tt0028653,5.6,1041
tt0028659,6.4,1203
tt0028661,6.3,1282
tt0028665,6.7,1360
tt0028668,6.0,1049
tt0028683,7.3,8798
tt0028691,7.9,10999
tt0028707,6.7,1647
tt0028708,7.0,1841
tt0028709,7.0,1605
tt0028737,7.3,1326
tt0028739,6.5,1707
tt0028757,6.8,2390
tt0028767,6.2,1468
tt0028772,7.5,14644
tt0028773,7.2,8656
tt0028804,6.9,2533
tt0028816,7.5,4211
tt0028818,7.3,2010
tt0028842,6.6,1578
tt0028872,6.5,1993
tt0028944,7.5,5428
tt0028950,8.1,39005
tt0028988,7.2,4989
tt0029002,7.3,2558
tt0029030,7.1,3061
tt0029047,6.7,2646
tt0029058,7.4,2666
tt0029080,7.2,3948
tt0029081,6.3,1456
tt0029087,6.8,1466
tt0029118,6.7,1768
tt0029120,6.4,1648
tt0029146,7.2,9073
tt0029162,7.6,14515
tt0029192,8.2,9577
tt0029201,6.9,1605
tt0029217,7.1,4867
tt0029222,7.3,1185
tt0029284,7.3,11568
tt0029309,6.3,1109
tt0029310,7.2,2979
tt0029314,7.6,2311
tt0029322,6.8,7314
tt0029335,7.4,1854
tt0029347,6.7,1249
tt0029395,6.5,1118
tt0029440,7.2,2894
tt0029442,7.6,5085
tt0029453,7.7,8110
tt0029454,6.2,1320
tt0029511,6.5,2246
tt0029516,6.5,1976
tt0029539,7.0,1064
tt0029546,7.4,7895
tt0029557,7.0,1303
tt0029583,7.6,216665
tt0029588,6.2,1027
tt0029604,7.7,9066
tt0029605,6.7,1324
tt0029606,7.3,10962
tt0029608,7.4,6318
tt0029611,6.5,1140
tt0029648,6.9,1083
tt0029650,6.5,1678
tt0029658,7.2,1953
tt0029660,6.7,1232
tt0029675,6.3,1216
tt0029682,7.2,8416
tt0029695,6.6,1784
tt0029747,7.6,9036
tt0029751,6.9,1948
tt0029808,7.2,7689
tt0029811,6.8,10939
tt0029842,5.6,1170
tt0029843,7.9,54711
tt0029844,7.0,2251
tt0029850,7.5,12310
tt0029852,6.8,2332
tt0029855,6.6,3256
tt0029864,7.0,3031
tt0029870,7.9,23322
tt0029912,6.1,1092
tt0029923,7.5,4541
tt0029929,7.2,4583
tt0029942,7.2,6385
tt0029947,7.8,66387
tt0029957,7.5,8456
tt0029971,7.0,4335
tt0029984,6.7,1851
tt0029989,4.5,1107
tt0029992,7.5,8760
tt0029995,7.0,2387
tt0030018,6.6,1830
tt0030026,6.5,1429
tt0030044,7.5,3439
tt0030063,6.6,1617
tt0030127,7.5,2419
tt0030138,6.9,1059
tt0030149,6.9,2244
tt0030151,6.3,1346
