tconst,directors,writers
tt0106350,nm0339245,nm0339245
tt0106364,"nm0022828,nm0456631,nm0667469,nm0722713,nm0705779,nm0863622","nm0122334,nm0227704,nm0664632,nm0714184,nm0004170"
tt0106366,nm0213983,"nm0755126,nm0446995"
tt0106375,nm0199722,"nm0000455,nm0427468,nm0089676"
tt0106379,nm0287025,nm0287025
tt0106384,nm0001348,nm0001348
tt0106387,nm0154819,"nm0075727,nm0573905"
tt0106389,nm0149134,"nm0149134,nm0880928"
tt0106393,nm0705675,"nm0834883,nm0625482"
tt0106400,nm0790715,"nm0377417,nm0465199,nm0742797,nm0279576,nm0820852"
tt0106408,nm0149446,"nm0149446,nm0842934"
tt0106417,nm0407552,"nm0866742,nm0847603,nm0525873"
tt0106421,nm0223411,"nm0223411,nm0511665,nm0605231,nm0645477,nm0856804,nm0945618"
tt0106438,nm0418746,nm0418746
tt0106447,nm0825790,nm0373155
tt0106450,nm0112409,"nm0112409,nm0084182"
tt0106452,nm0001206,"nm0278277,nm0162888,nm0169540,nm0002340,nm0660016,nm0820669"
tt0106453,nm0248942,nm0592436
tt0106455,nm0364805,"nm0677514,nm0364805"
tt0106464,nm0000151,"nm0610782,nm0083349,nm0927544"
tt0106466,nm0001502,"nm0437717,nm0569790"
tt0106469,nm0000431,"nm0859469,nm0045180,nm0406228,nm0616152"
tt0106471,nm0528337,"nm0129310,nm0528337"
tt0106476,nm0317411,"nm0803711,nm0883908,nm0073876,nm0486615"
tt0106489,nm0000134,nm0001590
tt0106500,nm0205542,"nm0001674,nm0313555,nm0516598"
tt0106504,nm0000382,nm0000382
tt0106505,nm0925870,nm0788612
tt0106519,nm0000361,"nm0868620,nm0462895"
tt0106521,"nm0800048,nm0540542","nm0112488,nm0800048"
tt0106534,nm0547616,"nm0547616,nm0695737"
tt0106535,nm0001949,"nm0001949,nm0568605"
tt0106538,"nm0155642,nm0864775",nm0789966
tt0106539,nm0799302,nm0404955
tt0106544,nm0867262,"nm0867262,nm0789966,nm0359180,nm0437645"
tt0106545,nm0939147,nm0939147
tt0106557,nm0002606,"nm0441623,nm0012155,nm0000175"
tt0106559,nm0007139,"nm0497762,nm0007139"
tt0106579,nm0449868,nm0449868
tt0106582,nm0001317,"nm0519026,nm0289833,nm0000230"
tt0106598,nm0006625,"nm0205569,nm0000101,nm0877425,nm0877901"
tt0106611,nm0005509,"nm0796848,nm0006916,nm0842476,nm0325271"
tt0106613,nm0001857,nm0647592
tt0106620,"nm0491286,nm0001090","nm0001090,nm0238489,nm0491286,nm0492610,nm0204427"
tt0106627,nm0788454,nm0788454
tt0106632,nm0003974,"nm0045870,nm0418450,nm0003974"
tt0106655,nm0764316,"nm1122442,nm0795651"
tt0106660,nm0001206,nm0820669
tt0106661,nm0350455,"nm0606784,nm0284524"
tt0106664,nm0001681,"nm0000175,nm0001681"
tt0106673,nm0718645,nm0002657
tt0106677,nm0000500,nm0000500
tt0106684,nm0178876,"nm0178876,nm0885014"
tt0106693,nm0161615,"nm0689990,nm0161615"
tt0106697,nm0104193,"nm0006997,nm0719427,nm0914058"
tt0106701,nm0145309,"nm0450477,nm0000455"
tt0106749,nm0644861,"nm1090826,nm0760754"
tt0106753,nm0383605,nm0383605
tt0106761,nm0950819,"nm0227704,nm0795990,nm0205157,nm0332467"
tt0106770,nm0003418,"nm0167195,nm0004791,nm0451689,nm0706311,nm0003418"
tt0106779,nm0198059,"nm0198059,nm0658523"
tt0106792,nm0905237,nm0400515
tt0106819,nm0796479,"nm0706765,nm0796479"
tt0106827,nm0156047,"nm0156047,nm0015220"
tt0106833,nm0006960,"nm0625695,nm0923585"
tt0106834,nm0001814,"nm0730478,nm0001814"
tt0106850,nm0504495,"nm0755295,nm0096813"
tt0106856,nm0001708,nm0808076
tt0106866,nm0418619,nm0418619
tt0106867,nm0661345,"nm0070380,nm0073053,nm0207401,nm0661345,nm0767586,nm0897715"
tt0106868,nm0004121,"nm0886394,nm0145781,nm0378144,nm0548736"
tt0106873,nm0005348,nm0641714
tt0106877,nm0740213,nm0818098
tt0106880,nm0192090,nm0192090
tt0106881,nm0001837,nm0947913
tt0106911,"nm0851752,nm0851754","nm0851752,nm0851754,nm0677758"
tt0106912,nm0509409,"nm0910591,nm0868124"
tt0106913,nm0515891,"nm0026035,nm0194274,nm0336472"
tt0106918,nm0001628,"nm0001300,nm0704792,nm0001801,nm0713128"
tt0106922,nm0796477,"nm0796477,nm0002510"
tt0106926,nm0460141,nm0460141
tt0106936,nm0477035,"nm0150977,nm6970271,nm0311508,nm0149644"
tt0106937,nm0477035,"nm0150977,nm0311508"
tt0106941,nm0001756,"nm0742797,nm0465199"
tt0106949,nm0775733,"nm0771053,nm0062862,nm0117689,nm0373190,nm0775733"
tt0106950,nm0002340,"nm0624639,nm0270686,nm0892866,nm0289278"
tt0106963,nm0254632,nm0254632
tt0106965,nm0934578,"nm0907929,nm0088097"
tt0106966,"nm0349425,nm0846119","nm0349425,nm0668590"
tt0106977,nm0001112,"nm0835732,nm0878638,nm0400403"
tt0107002,nm0001945,"nm0957652,nm0001945,nm0486624"
tt0107004,nm0001353,"nm0587518,nm0343419"
tt0107007,nm0561813,"nm0787033,nm0561813"
tt0107009,nm0003080,"nm0204030,nm0651758"
tt0107027,"nm0645549,nm0648457","nm0412808,nm0590840,nm0632706,nm2926953,nm0948908"
tt0107034,nm0747849,nm0568605
tt0107048,nm0000601,"nm0748035,nm0000601"
tt0107050,nm0677953,nm0425756
tt0107057,nm0001486,nm0169540
tt0107076,nm0000247,nm0679326
tt0107079,nm0406687,nm0177875
tt0107086,nm0680846,nm0680846
tt0107090,nm0339254,"nm0045959,nm0748035,nm0746634"
tt0107091,nm0881038,"nm0360810,nm0360779,nm0534681,nm0934093"
tt0107096,nm0000231,"nm0371665,nm0943430,nm0371664,nm0000231"
tt0107101,nm0635760,"nm0704894,nm0725958,nm0295165,nm0860151"
tt0107103,nm0662186,nm0542112
tt0107107,nm0817848,nm0817848
tt0107117,nm0916328,nm0825988
tt0107120,nm0650905,"nm0456946,nm0308376,nm0193854"
tt0107121,nm0310168,"nm0259255,nm0407602"
tt0107130,nm0082300,nm0242059
tt0107131,nm0242271,"nm0122484,nm0003031,nm0941314"
tt0107144,nm0000720,"nm0000720,nm0698493"
tt0107146,nm0576282,nm0576282
tt0107147,nm0927296,"nm2330625,nm0854185,nm0927296"
tt0107148,nm0504297,"nm0504297,nm0514880"
tt0107151,nm0000806,"nm0021196,nm0000806"
tt0107152,nm0001700,"nm0698731,nm0345491,nm0001700"
tt0107156,nm0000487,"nm0000487,nm0671824,nm0770005"
tt0107157,nm0396284,"nm0160883,nm0508527,nm0943150"
tt0107162,nm0082898,"nm0849283,nm0007139"
tt0107165,nm0000940,"nm0133561,nm0000940"
